Field=Description~String~Description~183|Field=Designator~String~Designator~111|Field=MANUFACTURER~String~MANUFACTURER~88|Field=MANUFACTURER REFERENCE~String~MANUFACTURER REFERENCE~88|Field=MOUNTING~String~MOUNTING~88|Field=PACKAGING~String~PACKAGING~100|Field=Quantity~Integer~Quantity~109|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~XDRONE.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\XDRONE\Hardware\XDRONE.PrjPcb|ReportField=Title~Bill of Materials For Project [XDRONE.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~125|ReportField=ReportTime~13:30:12|ReportField=ReportDate~02/03/2024|ReportField=ReportDateTime~02/03/2024 13:30:12|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~L3, 12a Rodborough Rd|ReportField=Address2~Frenchs Forest|ReportField=Address3~NSW|ReportField=Address4~Australia 2086|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Gabriel|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~Altium Limited|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~8|ReportField=Subtitle~Main|ReportField=Time~|ReportField=Title~XDRONE|ReportField=DataSourceFileName~XDRONE.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\XDRONE\Hardware\XDRONE.PrjPcb
Button PTS647SK38SMTR2LFS|B700, B701, B702|C&K|PTS647SK38SMTR2LFS|SMD||3
CAP 4.7uF 10% 106 0805 X7R|C200|MURATA|GRM21BR71C475KE51L|SMD|0805|1
CAP 10uF 20% 6.3V 0805 X5R|C201|TAYIO YUDEN|JMK212BJ106MG-T|SMD|0805|1
CAPACITOR 10uF 20% 6.3V 0402 GRM155R60J106ME05D|C300, C400, C809|MURATA|GRM155R60J106ME05D|SMD|0402|3
CAPACITOR 100nF 10% X7R 0402|C301, C302, C401, C402, C502, C506, C510, C514, C803, C807, C810|MURATA|GRM155R71C104KA88J|SMD|0402|11
CAP 10uF 10% 10V 0805 X6S|C500, C501, C504, C505, C508, C509, C512, C513|MURATA|GRM21BC81C106KA73L|SMD|0805|8
CAPACITOR 100pF 5% 50V 0402 CC0402JRNPO9BN101|C503, C507, C511, C515, C811, C813, C815|YAGEO|CC0402JRNPO9BN101|SMD|0402|7
CAP 220pF 5% 50V 0805 C0G,NP0|C800|JOHANSON TECHLONOGY|QSCT251Q221J1GV001E|SMD|0805|1
CAPACITOR 6.3pF 1.5% 50V 0402 CBR04C639B5GAC|C801|KEMET|CBR04C639B5GAC|SMD|0402|1
CAPACITOR 2.1pF 5% 50V 0402 GJM1555C1H2R1BB01D|C802|MURATA|GJM1555C1H2R1BB01D|SMD|0402|1
CAPACITOR 1uF 10% X5R 0402|C804, C805, C814, C816|MURATA|GRM155R6YA105KE11J|SMD|0402|4
CAPACITOR 10nF 10% 6.3V 0402 CC0402KRX7R5BB103|C806|YAGEO|CC0402KRX7R5BB103|SMD|0402|1
CAP 2.7uF 10% 10V 0805 X5R C0805C275K8PAC7800|C808|KEMET|C0805C275K8PAC7800|SMD|0805|1
